Time,PixelLabelData
0 sec,
0.0016667 sec,
0.066667 sec,
0.115 sec,
0.14667 sec,
0.195 sec,
0.23833 sec,
0.30167 sec,
0.35667 sec,
0.40167 sec,
0.465 sec,
0.51667 sec,
0.57333 sec,
0.625 sec,
0.68 sec,
0.73667 sec,
0.78667 sec,
0.84 sec,
0.89833 sec,
0.94833 sec,
1.0017 sec,
1.055 sec,
1.1067 sec,
1.165 sec,
1.21 sec,
1.27 sec,
1.3233 sec,
1.3767 sec,
1.43 sec,
1.4833 sec,
1.5367 sec,
1.5917 sec,
1.6433 sec,
1.7033 sec,
1.75 sec,
1.8083 sec,
1.8583 sec,
1.9167 sec,
1.9783 sec,
2.0267 sec,
2.0867 sec,
2.135 sec,
2.1883 sec,
2.2433 sec,
2.3 sec,
2.3467 sec,
2.4167 sec,
2.465 sec,
2.5067 sec,
2.56 sec,
2.6167 sec,
2.6733 sec,
2.725 sec,
2.7817 sec,
2.8333 sec,
2.895 sec,
2.9433 sec,
2.9967 sec,
3.0567 sec,
3.11 sec,
3.1533 sec,
3.2233 sec,
3.2667 sec,
3.315 sec,
3.37 sec,
3.4233 sec,
3.48 sec,
3.54 sec,
3.585 sec,
3.6467 sec,
3.6933 sec,
3.745 sec,
3.8033 sec,
3.8617 sec,
3.9183 sec,
3.9617 sec,
4.02 sec,
4.07 sec,
4.125 sec,
4.185 sec,
4.235 sec,
4.2817 sec,
4.3383 sec,
4.395 sec,
4.4433 sec,
4.5083 sec,
4.5683 sec,
4.6117 sec,
4.6583 sec,
4.7217 sec,
4.77 sec,
4.82 sec,
4.8733 sec,
4.9417 sec,
4.9817 sec,
5.0333 sec,
5.095 sec,
5.1517 sec,
5.2033 sec,
5.26 sec,
5.305 sec,
5.3617 sec,
5.4233 sec,
5.4683 sec,
5.5283 sec,
5.58 sec,
5.6417 sec,
5.69 sec,
5.7367 sec,
5.7967 sec,
5.8483 sec,
5.92 sec,
5.9617 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_113.png
6.0067 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_114.png
6.0617 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_115.png
6.1233 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_116.png
6.1717 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_117.png
6.2267 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_118.png
6.2767 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_119.png
6.3333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_120.png
6.3833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_121.png
6.445 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_122.png
6.4917 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_123.png
6.5433 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_124.png
6.6 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_125.png
6.65 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_126.png
6.71 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_127.png
6.755 sec,
6.8133 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_129.png
6.8717 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/010/LLS/anno/PixelLabelData/LLS_Label_130.png
