Time,PixelLabelData,OriginalData
6.0067 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_114.png,Studies/010/LLS/anno/OriginalData/LLS_Label_114.png
6.445 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_122.png,Studies/010/LLS/anno/OriginalData/LLS_Label_122.png
6.4917 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_123.png,Studies/010/LLS/anno/OriginalData/LLS_Label_123.png
6.5433 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_124.png,Studies/010/LLS/anno/OriginalData/LLS_Label_124.png
6.6 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_125.png,Studies/010/LLS/anno/OriginalData/LLS_Label_125.png
6.71 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_127.png,Studies/010/LLS/anno/OriginalData/LLS_Label_127.png
7.0467 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_133.png,Studies/010/LLS/anno/OriginalData/LLS_Label_133.png
9.0267 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_170.png,Studies/010/LLS/anno/OriginalData/LLS_Label_170.png
9.0883 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_171.png,Studies/010/LLS/anno/OriginalData/LLS_Label_171.png
9.1333 sec,Studies/010/LLS/anno/PixelLabelData/LLS_Label_172.png,Studies/010/LLS/anno/OriginalData/LLS_Label_172.png
