Time,PixelLabelData
0 sec,
0.0016667 sec,
0.085 sec,
0.14833 sec,
0.20833 sec,
0.275 sec,
0.33167 sec,
0.38167 sec,
0.44833 sec,
0.49333 sec,
0.55 sec,
0.60333 sec,
0.65667 sec,
0.715 sec,
0.75667 sec,
0.81333 sec,
0.87333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_17.png
0.93667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_18.png
0.985 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_19.png
1.0333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_20.png
1.0867 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_21.png
1.1417 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_22.png
1.1967 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_23.png
1.25 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_24.png
1.3067 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_25.png
1.3533 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_26.png
1.4083 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_27.png
1.4667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_28.png
1.5217 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_29.png
1.5733 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_30.png
1.6233 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_31.png
1.68 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_32.png
1.7317 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_33.png
1.79 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_34.png
1.8433 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_35.png
1.9 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_36.png
1.9517 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_37.png
1.9983 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_38.png
2.0567 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_39.png
2.1083 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_40.png
2.1633 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_41.png
2.2133 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_42.png
2.2683 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_43.png
2.3233 sec,
2.3733 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/LPT/anno/PixelLabelData/LPT_Label_45.png
