Time,PixelLabelData,OriginalData
0.87333 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_17.png,Studies/012/LPT/anno/OriginalData/LPT_Label_17.png
0.93667 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_18.png,Studies/012/LPT/anno/OriginalData/LPT_Label_18.png
0.985 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_19.png,Studies/012/LPT/anno/OriginalData/LPT_Label_19.png
1.0333 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_20.png,Studies/012/LPT/anno/OriginalData/LPT_Label_20.png
1.0867 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_21.png,Studies/012/LPT/anno/OriginalData/LPT_Label_21.png
1.1417 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_22.png,Studies/012/LPT/anno/OriginalData/LPT_Label_22.png
1.1967 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_23.png,Studies/012/LPT/anno/OriginalData/LPT_Label_23.png
1.25 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_24.png,Studies/012/LPT/anno/OriginalData/LPT_Label_24.png
1.3067 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_25.png,Studies/012/LPT/anno/OriginalData/LPT_Label_25.png
1.3533 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_26.png,Studies/012/LPT/anno/OriginalData/LPT_Label_26.png
1.4083 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_27.png,Studies/012/LPT/anno/OriginalData/LPT_Label_27.png
1.4667 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_28.png,Studies/012/LPT/anno/OriginalData/LPT_Label_28.png
1.5217 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_29.png,Studies/012/LPT/anno/OriginalData/LPT_Label_29.png
1.5733 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_30.png,Studies/012/LPT/anno/OriginalData/LPT_Label_30.png
1.6233 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_31.png,Studies/012/LPT/anno/OriginalData/LPT_Label_31.png
1.68 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_32.png,Studies/012/LPT/anno/OriginalData/LPT_Label_32.png
1.7317 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_33.png,Studies/012/LPT/anno/OriginalData/LPT_Label_33.png
1.79 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_34.png,Studies/012/LPT/anno/OriginalData/LPT_Label_34.png
1.8433 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_35.png,Studies/012/LPT/anno/OriginalData/LPT_Label_35.png
1.9 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_36.png,Studies/012/LPT/anno/OriginalData/LPT_Label_36.png
1.9517 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_37.png,Studies/012/LPT/anno/OriginalData/LPT_Label_37.png
1.9983 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_38.png,Studies/012/LPT/anno/OriginalData/LPT_Label_38.png
2.0567 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_39.png,Studies/012/LPT/anno/OriginalData/LPT_Label_39.png
2.1083 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_40.png,Studies/012/LPT/anno/OriginalData/LPT_Label_40.png
2.1633 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_41.png,Studies/012/LPT/anno/OriginalData/LPT_Label_41.png
2.2133 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_42.png,Studies/012/LPT/anno/OriginalData/LPT_Label_42.png
2.2683 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_43.png,Studies/012/LPT/anno/OriginalData/LPT_Label_43.png
2.3733 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_45.png,Studies/012/LPT/anno/OriginalData/LPT_Label_45.png
2.4283 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_46.png,Studies/012/LPT/anno/OriginalData/LPT_Label_46.png
2.4833 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_47.png,Studies/012/LPT/anno/OriginalData/LPT_Label_47.png
2.535 sec,Studies/012/LPT/anno/PixelLabelData/LPT_Label_48.png,Studies/012/LPT/anno/OriginalData/LPT_Label_48.png
