Time,PixelLabelData
0 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_1.png
0.0016667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_2.png
0.098333 sec,
0.155 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_4.png
0.20833 sec,
0.265 sec,
0.32833 sec,
0.39833 sec,
0.44 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_9.png
0.50833 sec,
0.55167 sec,
0.61667 sec,
0.65667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_13.png
0.725 sec,
0.76833 sec,
0.81667 sec,
0.87333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_17.png
0.92667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_18.png
0.97833 sec,
1.035 sec,
1.085 sec,
1.1433 sec,
1.1983 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_23.png
1.2517 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_24.png
1.3033 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_25.png
1.3533 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_26.png
1.4083 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_27.png
1.4583 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_28.png
1.515 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_29.png
1.5733 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_30.png
1.6217 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_31.png
1.675 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_32.png
1.7267 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_33.png
1.7933 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_34.png
1.84 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_35.png
1.8967 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_36.png
1.95 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_37.png
1.9967 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_38.png
2.0517 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_39.png
2.1067 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_40.png
2.16 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_41.png
2.215 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_42.png
2.2667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/012/RPT/anno/PixelLabelData_3/RPT_Label_43.png
