Time,PixelLabelData
0 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_1.png
0.043333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_2.png
0.11833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_3.png
0.15333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_4.png
0.21167 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_5.png
0.25167 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_6.png
0.30333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_7.png
0.36 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_8.png
0.41833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_9.png
0.46833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_10.png
0.53167 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_11.png
0.58 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_12.png
0.63667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_13.png
0.68833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_14.png
0.74 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_15.png
0.795 sec,
0.84667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_17.png
0.90667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_18.png
0.95167 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_19.png
1.0083 sec,
1.0617 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_21.png
1.1183 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/015/RPS/anno/PixelLabelData/RPS_Label_22.png
