Time,PixelLabelData,OriginalData
0 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_1.png,Studies/015/RPS/anno/OriginalData/RPS_Label_1.png
0.043333 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_2.png,Studies/015/RPS/anno/OriginalData/RPS_Label_2.png
0.11833 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_3.png,Studies/015/RPS/anno/OriginalData/RPS_Label_3.png
0.15333 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_4.png,Studies/015/RPS/anno/OriginalData/RPS_Label_4.png
0.21167 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_5.png,Studies/015/RPS/anno/OriginalData/RPS_Label_5.png
0.25167 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_6.png,Studies/015/RPS/anno/OriginalData/RPS_Label_6.png
0.30333 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_7.png,Studies/015/RPS/anno/OriginalData/RPS_Label_7.png
0.36 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_8.png,Studies/015/RPS/anno/OriginalData/RPS_Label_8.png
0.41833 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_9.png,Studies/015/RPS/anno/OriginalData/RPS_Label_9.png
0.46833 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_10.png,Studies/015/RPS/anno/OriginalData/RPS_Label_10.png
0.53167 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_11.png,Studies/015/RPS/anno/OriginalData/RPS_Label_11.png
0.58 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_12.png,Studies/015/RPS/anno/OriginalData/RPS_Label_12.png
0.63667 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_13.png,Studies/015/RPS/anno/OriginalData/RPS_Label_13.png
0.68833 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_14.png,Studies/015/RPS/anno/OriginalData/RPS_Label_14.png
0.74 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_15.png,Studies/015/RPS/anno/OriginalData/RPS_Label_15.png
0.84667 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_17.png,Studies/015/RPS/anno/OriginalData/RPS_Label_17.png
0.90667 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_18.png,Studies/015/RPS/anno/OriginalData/RPS_Label_18.png
0.95167 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_19.png,Studies/015/RPS/anno/OriginalData/RPS_Label_19.png
1.0617 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_21.png,Studies/015/RPS/anno/OriginalData/RPS_Label_21.png
1.1183 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_22.png,Studies/015/RPS/anno/OriginalData/RPS_Label_22.png
1.17 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_23.png,Studies/015/RPS/anno/OriginalData/RPS_Label_23.png
1.2233 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_24.png,Studies/015/RPS/anno/OriginalData/RPS_Label_24.png
1.2767 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_25.png,Studies/015/RPS/anno/OriginalData/RPS_Label_25.png
1.33 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_26.png,Studies/015/RPS/anno/OriginalData/RPS_Label_26.png
1.3867 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_27.png,Studies/015/RPS/anno/OriginalData/RPS_Label_27.png
1.4417 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_28.png,Studies/015/RPS/anno/OriginalData/RPS_Label_28.png
1.495 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_29.png,Studies/015/RPS/anno/OriginalData/RPS_Label_29.png
1.545 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_30.png,Studies/015/RPS/anno/OriginalData/RPS_Label_30.png
1.6 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_31.png,Studies/015/RPS/anno/OriginalData/RPS_Label_31.png
1.6533 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_32.png,Studies/015/RPS/anno/OriginalData/RPS_Label_32.png
1.7017 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_33.png,Studies/015/RPS/anno/OriginalData/RPS_Label_33.png
1.7583 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_34.png,Studies/015/RPS/anno/OriginalData/RPS_Label_34.png
1.8667 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_36.png,Studies/015/RPS/anno/OriginalData/RPS_Label_36.png
1.9217 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_37.png,Studies/015/RPS/anno/OriginalData/RPS_Label_37.png
1.975 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_38.png,Studies/015/RPS/anno/OriginalData/RPS_Label_38.png
2.0317 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_39.png,Studies/015/RPS/anno/OriginalData/RPS_Label_39.png
2.0833 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_40.png,Studies/015/RPS/anno/OriginalData/RPS_Label_40.png
2.1333 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_41.png,Studies/015/RPS/anno/OriginalData/RPS_Label_41.png
2.19 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_42.png,Studies/015/RPS/anno/OriginalData/RPS_Label_42.png
2.2417 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_43.png,Studies/015/RPS/anno/OriginalData/RPS_Label_43.png
2.3 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_44.png,Studies/015/RPS/anno/OriginalData/RPS_Label_44.png
2.35 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_45.png,Studies/015/RPS/anno/OriginalData/RPS_Label_45.png
2.4033 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_46.png,Studies/015/RPS/anno/OriginalData/RPS_Label_46.png
2.46 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_47.png,Studies/015/RPS/anno/OriginalData/RPS_Label_47.png
2.5133 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_48.png,Studies/015/RPS/anno/OriginalData/RPS_Label_48.png
2.5717 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_49.png,Studies/015/RPS/anno/OriginalData/RPS_Label_49.png
2.62 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_50.png,Studies/015/RPS/anno/OriginalData/RPS_Label_50.png
2.675 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_51.png,Studies/015/RPS/anno/OriginalData/RPS_Label_51.png
2.735 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_52.png,Studies/015/RPS/anno/OriginalData/RPS_Label_52.png
2.785 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_53.png,Studies/015/RPS/anno/OriginalData/RPS_Label_53.png
2.835 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_54.png,Studies/015/RPS/anno/OriginalData/RPS_Label_54.png
2.9433 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_56.png,Studies/015/RPS/anno/OriginalData/RPS_Label_56.png
3.05 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_58.png,Studies/015/RPS/anno/OriginalData/RPS_Label_58.png
3.155 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_60.png,Studies/015/RPS/anno/OriginalData/RPS_Label_60.png
3.2667 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_62.png,Studies/015/RPS/anno/OriginalData/RPS_Label_62.png
3.3733 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_64.png,Studies/015/RPS/anno/OriginalData/RPS_Label_64.png
3.5333 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_67.png,Studies/015/RPS/anno/OriginalData/RPS_Label_67.png
3.6433 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_69.png,Studies/015/RPS/anno/OriginalData/RPS_Label_69.png
3.86 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_73.png,Studies/015/RPS/anno/OriginalData/RPS_Label_73.png
3.97 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_75.png,Studies/015/RPS/anno/OriginalData/RPS_Label_75.png
4.065 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_77.png,Studies/015/RPS/anno/OriginalData/RPS_Label_77.png
4.2817 sec,Studies/015/RPS/anno/PixelLabelData/RPS_Label_81.png,Studies/015/RPS/anno/OriginalData/RPS_Label_81.png
