Time,PixelLabelData,OriginalData
0 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_1.png,Studies/015/RPT/anno/OriginalData/RPT_Label_1.png
0.083333 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_3.png,Studies/015/RPT/anno/OriginalData/RPT_Label_3.png
0.17167 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_5.png,Studies/015/RPT/anno/OriginalData/RPT_Label_5.png
0.27167 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_7.png,Studies/015/RPT/anno/OriginalData/RPT_Label_7.png
0.38167 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_9.png,Studies/015/RPT/anno/OriginalData/RPT_Label_9.png
0.435 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_10.png,Studies/015/RPT/anno/OriginalData/RPT_Label_10.png
0.54167 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_12.png,Studies/015/RPT/anno/OriginalData/RPT_Label_12.png
0.59667 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_13.png,Studies/015/RPT/anno/OriginalData/RPT_Label_13.png
0.70333 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_15.png,Studies/015/RPT/anno/OriginalData/RPT_Label_15.png
0.81333 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_17.png,Studies/015/RPT/anno/OriginalData/RPT_Label_17.png
0.92 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_19.png,Studies/015/RPT/anno/OriginalData/RPT_Label_19.png
0.975 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_20.png,Studies/015/RPT/anno/OriginalData/RPT_Label_20.png
1.025 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_21.png,Studies/015/RPT/anno/OriginalData/RPT_Label_21.png
1.0783 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_22.png,Studies/015/RPT/anno/OriginalData/RPT_Label_22.png
1.135 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_23.png,Studies/015/RPT/anno/OriginalData/RPT_Label_23.png
1.185 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_24.png,Studies/015/RPT/anno/OriginalData/RPT_Label_24.png
1.24 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_25.png,Studies/015/RPT/anno/OriginalData/RPT_Label_25.png
1.3483 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_27.png,Studies/015/RPT/anno/OriginalData/RPT_Label_27.png
1.455 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_29.png,Studies/015/RPT/anno/OriginalData/RPT_Label_29.png
1.565 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_31.png,Studies/015/RPT/anno/OriginalData/RPT_Label_31.png
1.62 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_32.png,Studies/015/RPT/anno/OriginalData/RPT_Label_32.png
1.725 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_34.png,Studies/015/RPT/anno/OriginalData/RPT_Label_34.png
1.94 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_38.png,Studies/015/RPT/anno/OriginalData/RPT_Label_38.png
1.9917 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_39.png,Studies/015/RPT/anno/OriginalData/RPT_Label_39.png
2.1533 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_42.png,Studies/015/RPT/anno/OriginalData/RPT_Label_42.png
2.2617 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_44.png,Studies/015/RPT/anno/OriginalData/RPT_Label_44.png
2.4217 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_47.png,Studies/015/RPT/anno/OriginalData/RPT_Label_47.png
2.4767 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_48.png,Studies/015/RPT/anno/OriginalData/RPT_Label_48.png
2.5317 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_49.png,Studies/015/RPT/anno/OriginalData/RPT_Label_49.png
2.635 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_51.png,Studies/015/RPT/anno/OriginalData/RPT_Label_51.png
2.8017 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_54.png,Studies/015/RPT/anno/OriginalData/RPT_Label_54.png
2.9067 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_56.png,Studies/015/RPT/anno/OriginalData/RPT_Label_56.png
2.96 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_57.png,Studies/015/RPT/anno/OriginalData/RPT_Label_57.png
3.125 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_60.png,Studies/015/RPT/anno/OriginalData/RPT_Label_60.png
3.1833 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_61.png,Studies/015/RPT/anno/OriginalData/RPT_Label_61.png
3.235 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_62.png,Studies/015/RPT/anno/OriginalData/RPT_Label_62.png
3.44 sec,Studies/015/RPT/anno/PixelLabelData/RPT_Label_66.png,Studies/015/RPT/anno/OriginalData/RPT_Label_66.png
