Time,PixelLabelData,OriginalData
0.061667 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_3.png,Studies/016/RLT/anno/OriginalData/RLT_Label_3.png
0.3 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_7.png,Studies/016/RLT/anno/OriginalData/RLT_Label_7.png
1.3667 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_27.png,Studies/016/RLT/anno/OriginalData/RLT_Label_27.png
1.64 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_32.png,Studies/016/RLT/anno/OriginalData/RLT_Label_32.png
1.9567 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_38.png,Studies/016/RLT/anno/OriginalData/RLT_Label_38.png
2.0117 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_39.png,Studies/016/RLT/anno/OriginalData/RLT_Label_39.png
2.1217 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_41.png,Studies/016/RLT/anno/OriginalData/RLT_Label_41.png
2.1717 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_42.png,Studies/016/RLT/anno/OriginalData/RLT_Label_42.png
2.4433 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_47.png,Studies/016/RLT/anno/OriginalData/RLT_Label_47.png
4.33 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_82.png,Studies/016/RLT/anno/OriginalData/RLT_Label_82.png
4.5483 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_86.png,Studies/016/RLT/anno/OriginalData/RLT_Label_86.png
5.305 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_100.png,Studies/016/RLT/anno/OriginalData/RLT_Label_100.png
5.68 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_107.png,Studies/016/RLT/anno/OriginalData/RLT_Label_107.png
5.735 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_108.png,Studies/016/RLT/anno/OriginalData/RLT_Label_108.png
5.7867 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_109.png,Studies/016/RLT/anno/OriginalData/RLT_Label_109.png
6.23 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_117.png,Studies/016/RLT/anno/OriginalData/RLT_Label_117.png
6.2833 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_118.png,Studies/016/RLT/anno/OriginalData/RLT_Label_118.png
6.335 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_119.png,Studies/016/RLT/anno/OriginalData/RLT_Label_119.png
6.3933 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_120.png,Studies/016/RLT/anno/OriginalData/RLT_Label_120.png
6.4483 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_121.png,Studies/016/RLT/anno/OriginalData/RLT_Label_121.png
6.505 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_122.png,Studies/016/RLT/anno/OriginalData/RLT_Label_122.png
6.5667 sec,Studies/016/RLT/anno/PixelLabelData/RLT_Label_123.png,Studies/016/RLT/anno/OriginalData/RLT_Label_123.png
