Time,PixelLabelData
0 sec,
0.051667 sec,
0.12 sec,
0.155 sec,
0.21 sec,
0.25333 sec,
0.31 sec,
0.37 sec,
0.425 sec,
0.475 sec,
0.54333 sec,
0.58667 sec,
0.64 sec,
0.69 sec,
0.75 sec,
0.795 sec,
0.85833 sec,
0.915 sec,
0.96333 sec,
1.0133 sec,
1.07 sec,
1.1233 sec,
1.1783 sec,
1.2283 sec,
1.2833 sec,
1.3383 sec,
1.3933 sec,
1.445 sec,
1.5 sec,
1.5517 sec,
1.605 sec,
1.66 sec,
1.7117 sec,
1.7667 sec,
1.825 sec,
1.875 sec,
1.9283 sec,
1.9767 sec,
2.035 sec,
2.0917 sec,
2.1417 sec,
2.1983 sec,
2.2467 sec,
2.3 sec,
2.36 sec,
2.4117 sec,
2.4633 sec,
2.5183 sec,
2.5733 sec,
2.6267 sec,
2.6767 sec,
2.7333 sec,
2.7883 sec,
2.84 sec,
2.8917 sec,
2.95 sec,
3 sec,
3.0567 sec,
3.11 sec,
3.1617 sec,
3.21 sec,
3.27 sec,
3.3283 sec,
3.3767 sec,
3.4317 sec,
3.485 sec,
3.5417 sec,
3.5883 sec,
3.6433 sec,
3.705 sec,
3.7533 sec,
3.8083 sec,
3.8567 sec,
3.9283 sec,
3.975 sec,
4.0233 sec,
4.0733 sec,
4.1283 sec,
4.1833 sec,
4.2367 sec,
4.2933 sec,
4.3433 sec,
4.3983 sec,
4.4533 sec,
4.505 sec,
4.56 sec,
4.61 sec,
4.67 sec,
4.7183 sec,
4.7717 sec,
4.8267 sec,
4.8883 sec,
4.9317 sec,
4.9833 sec,
5.0417 sec,
5.095 sec,
5.1467 sec,
5.2033 sec,
5.2567 sec,
5.31 sec,
5.3633 sec,
5.4167 sec,
5.4717 sec,
5.5233 sec,
5.5783 sec,
5.6333 sec,
5.6867 sec,
5.7417 sec,
5.7933 sec,
5.8433 sec,
5.9067 sec,
5.955 sec,
6.0067 sec,
6.06 sec,
6.1183 sec,
6.1683 sec,
6.225 sec,
6.2733 sec,
6.3317 sec,
6.3833 sec,
6.4383 sec,
6.49 sec,
6.545 sec,
6.6067 sec,
6.655 sec,
6.7067 sec,
6.7617 sec,
6.8133 sec,
6.8667 sec,
6.9267 sec,
6.9733 sec,
7.0283 sec,
7.085 sec,
7.1383 sec,
7.185 sec,
7.245 sec,
7.295 sec,
7.3517 sec,
7.4033 sec,
7.4567 sec,
7.5133 sec,
7.5617 sec,
7.6217 sec,
7.67 sec,
7.7283 sec,
7.7833 sec,
7.835 sec,
7.895 sec,
7.9467 sec,
7.9917 sec,
8.055 sec,
8.1083 sec,
8.155 sec,
8.2083 sec,
8.2633 sec,
8.3183 sec,
8.3733 sec,
8.4233 sec,
8.4767 sec,
8.5283 sec,
8.59 sec,
8.6383 sec,
8.6917 sec,
8.7467 sec,
8.8 sec,
8.8517 sec,
8.91 sec,
8.965 sec,
9.0133 sec,
9.0683 sec,
9.1233 sec,
9.175 sec,
9.23 sec,
9.285 sec,
9.3333 sec,
9.395 sec,
9.4433 sec,
9.5 sec,
9.5533 sec,
9.6067 sec,
9.6633 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAS/anno/PixelLabelData/RAS_Label_181.png
9.7133 sec,
9.7683 sec,
9.82 sec,
9.8717 sec,
9.9283 sec,
9.9783 sec,
10.035 sec,
10.09 sec,
10.14 sec,
10.198 sec,
10.248 sec,
10.303 sec,
10.355 sec,
10.41 sec,
10.465 sec,
10.518 sec,
