Time,PixelLabelData
0 sec,
0.038333 sec,
0.086667 sec,
0.12833 sec,
0.17167 sec,
0.21833 sec,
0.27 sec,
0.32833 sec,
0.39 sec,
0.43833 sec,
0.49833 sec,
0.54833 sec,
0.60333 sec,
0.65667 sec,
0.71 sec,
0.76167 sec,
0.81667 sec,
0.87 sec,
0.92833 sec,
0.97667 sec,
1.0283 sec,
1.09 sec,
1.14 sec,
1.1933 sec,
1.2483 sec,
1.3017 sec,
1.3517 sec,
1.41 sec,
1.46 sec,
1.5133 sec,
1.57 sec,
1.625 sec,
1.6783 sec,
1.7283 sec,
1.785 sec,
1.8383 sec,
1.8933 sec,
1.9483 sec,
1.9967 sec,
2.0517 sec,
2.1067 sec,
2.16 sec,
2.215 sec,
2.2667 sec,
2.32 sec,
2.375 sec,
2.4283 sec,
2.4833 sec,
2.5367 sec,
2.5867 sec,
2.645 sec,
2.6983 sec,
2.7483 sec,
2.81 sec,
2.8567 sec,
2.9167 sec,
2.965 sec,
3.0233 sec,
3.0717 sec,
3.1267 sec,
3.18 sec,
3.2317 sec,
3.285 sec,
3.3467 sec,
3.395 sec,
3.4483 sec,
3.5017 sec,
3.5583 sec,
3.605 sec,
3.665 sec,
3.7133 sec,
3.7717 sec,
3.8283 sec,
3.8767 sec,
3.9317 sec,
3.9833 sec,
4.0383 sec,
4.095 sec,
4.15 sec,
4.1983 sec,
4.2533 sec,
4.3067 sec,
4.3617 sec,
4.4117 sec,
4.4683 sec,
4.5217 sec,
4.5733 sec,
4.6317 sec,
4.6817 sec,
4.735 sec,
4.79 sec,
4.8433 sec,
4.9033 sec,
4.95 sec,
5.0017 sec,
5.06 sec,
5.1117 sec,
5.1567 sec,
5.2167 sec,
5.2733 sec,
5.3283 sec,
5.3783 sec,
5.4333 sec,
5.4883 sec,
5.5417 sec,
5.5967 sec,
5.645 sec,
5.6983 sec,
5.755 sec,
5.8133 sec,
5.8633 sec,
5.9183 sec,
5.9717 sec,
6.0267 sec,
6.08 sec,
6.1333 sec,
6.1883 sec,
6.2417 sec,
6.2933 sec,
6.3467 sec,
6.4017 sec,
6.455 sec,
6.51 sec,
6.56 sec,
6.6167 sec,
6.675 sec,
6.7233 sec,
6.7767 sec,
6.83 sec,
6.8933 sec,
6.9433 sec,
6.9917 sec,
7.0483 sec,
7.0983 sec,
7.16 sec,
7.2117 sec,
7.2533 sec,
7.31 sec,
7.37 sec,
7.4183 sec,
7.4767 sec,
7.5267 sec,
7.58 sec,
7.6367 sec,
7.69 sec,
7.745 sec,
7.8267 sec,
7.8767 sec,
7.9267 sec,
7.9883 sec,
8.0317 sec,
8.0833 sec,
8.1317 sec,
8.1867 sec,
8.24 sec,
8.2933 sec,
8.3467 sec,
8.405 sec,
8.4617 sec,
8.51 sec,
8.5583 sec,
8.6167 sec,
8.67 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_163.png
8.7283 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_164.png
8.7767 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_165.png
8.8283 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_166.png
8.8917 sec,
8.9433 sec,
8.9867 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_169.png
9.045 sec,
9.095 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_171.png
9.1517 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_172.png
9.2067 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_173.png
9.2583 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_174.png
9.3133 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_175.png
9.37 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_176.png
9.42 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_177.png
9.4717 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_178.png
9.54 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_179.png
9.5883 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_180.png
9.6383 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/017/RAT/anno/PixelLabelData/RAT_Label_181.png
9.6933 sec,
9.7433 sec,
