Time,PixelLabelData,OriginalData
8.67 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_163.png,Studies/017/RAT/anno/OriginalData/RAT_Label_163.png
8.7283 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_164.png,Studies/017/RAT/anno/OriginalData/RAT_Label_164.png
8.7767 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_165.png,Studies/017/RAT/anno/OriginalData/RAT_Label_165.png
8.8283 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_166.png,Studies/017/RAT/anno/OriginalData/RAT_Label_166.png
8.9867 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_169.png,Studies/017/RAT/anno/OriginalData/RAT_Label_169.png
9.095 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_171.png,Studies/017/RAT/anno/OriginalData/RAT_Label_171.png
9.1517 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_172.png,Studies/017/RAT/anno/OriginalData/RAT_Label_172.png
9.2067 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_173.png,Studies/017/RAT/anno/OriginalData/RAT_Label_173.png
9.2583 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_174.png,Studies/017/RAT/anno/OriginalData/RAT_Label_174.png
9.3133 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_175.png,Studies/017/RAT/anno/OriginalData/RAT_Label_175.png
9.37 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_176.png,Studies/017/RAT/anno/OriginalData/RAT_Label_176.png
9.42 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_177.png,Studies/017/RAT/anno/OriginalData/RAT_Label_177.png
9.4717 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_178.png,Studies/017/RAT/anno/OriginalData/RAT_Label_178.png
9.54 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_179.png,Studies/017/RAT/anno/OriginalData/RAT_Label_179.png
9.5883 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_180.png,Studies/017/RAT/anno/OriginalData/RAT_Label_180.png
9.6383 sec,Studies/017/RAT/anno/PixelLabelData/RAT_Label_181.png,Studies/017/RAT/anno/OriginalData/RAT_Label_181.png
