Time,PixelLabelData
0 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_1.png
0.021667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_2.png
0.088333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_3.png
0.13 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_4.png
0.18833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_5.png
0.235 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_6.png
0.29333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_7.png
0.35 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_8.png
0.405 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_9.png
0.45667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_10.png
0.50833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_11.png
0.56333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_12.png
0.61833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_13.png
0.67167 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_14.png
0.735 sec,
0.775 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_16.png
0.82833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_17.png
0.88167 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_18.png
0.94667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_19.png
1.005 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_20.png
1.0517 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_21.png
1.1083 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_22.png
1.1633 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_23.png
1.2133 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_24.png
1.2683 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_25.png
1.325 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_26.png
1.3767 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_27.png
1.4333 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_28.png
1.4917 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_29.png
1.54 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_30.png
1.5917 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_31.png
1.6467 sec,
1.7017 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_33.png
1.7583 sec,
1.8167 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_35.png
1.865 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_36.png
1.9183 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_37.png
1.9717 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_38.png
2.0267 sec,
2.0767 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_40.png
2.1367 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_41.png
2.1917 sec,
2.24 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_43.png
2.2967 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_44.png
2.3483 sec,
2.4167 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_46.png
2.48 sec,
2.52 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_48.png
2.57 sec,
2.6217 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_50.png
2.6767 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_51.png
2.7267 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_52.png
2.7833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_53.png
2.8367 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_54.png
2.905 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_55.png
2.96 sec,
2.9967 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_57.png
3.0583 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_58.png
3.115 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_59.png
3.19 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_60.png
3.235 sec,
3.28 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_62.png
3.3367 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_63.png
3.38 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_64.png
3.445 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_65.png
3.4917 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_66.png
3.54 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_67.png
3.6067 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_68.png
3.65 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_69.png
3.7083 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_70.png
3.7567 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_71.png
3.8133 sec,
3.8633 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_73.png
3.94 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_74.png
3.975 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_75.png
4.02 sec,
4.075 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_77.png
4.1317 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_78.png
4.19 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_79.png
4.2367 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_80.png
4.29 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_81.png
4.34 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_82.png
4.3983 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_83.png
4.4583 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_84.png
4.5133 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_85.png
4.56 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_86.png
4.62 sec,
4.6833 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_88.png
4.73 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_89.png
4.7833 sec,
4.8267 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_91.png
4.8967 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_92.png
4.9433 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_93.png
4.9933 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_94.png
5.0467 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_95.png
5.1 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/022/LLT/anno/PixelLabelData/LLT_Label_96.png
