Time,PixelLabelData,OriginalData
0.021667 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_2.png,Studies/022/LLT/anno/OriginalData/LLT_Label_2.png
0.45667 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_10.png,Studies/022/LLT/anno/OriginalData/LLT_Label_10.png
0.50833 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_11.png,Studies/022/LLT/anno/OriginalData/LLT_Label_11.png
0.56333 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_12.png,Studies/022/LLT/anno/OriginalData/LLT_Label_12.png
0.61833 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_13.png,Studies/022/LLT/anno/OriginalData/LLT_Label_13.png
0.775 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_16.png,Studies/022/LLT/anno/OriginalData/LLT_Label_16.png
1.0517 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_21.png,Studies/022/LLT/anno/OriginalData/LLT_Label_21.png
3.38 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_64.png,Studies/022/LLT/anno/OriginalData/LLT_Label_64.png
3.445 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_65.png,Studies/022/LLT/anno/OriginalData/LLT_Label_65.png
3.4917 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_66.png,Studies/022/LLT/anno/OriginalData/LLT_Label_66.png
3.54 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_67.png,Studies/022/LLT/anno/OriginalData/LLT_Label_67.png
3.6067 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_68.png,Studies/022/LLT/anno/OriginalData/LLT_Label_68.png
5.3817 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_101.png,Studies/022/LLT/anno/OriginalData/LLT_Label_101.png
5.5367 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_104.png,Studies/022/LLT/anno/OriginalData/LLT_Label_104.png
7.5867 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_142.png,Studies/022/LLT/anno/OriginalData/LLT_Label_142.png
7.805 sec,Studies/022/LLT/anno/PixelLabelData/LLT_Label_146.png,Studies/022/LLT/anno/OriginalData/LLT_Label_146.png
