Time,PixelLabelData
0 sec,
0.046667 sec,/Users/ingridcamelo/Dropbox/mBSUS pilot images/studies10-31/031/LAS/anno/PixelLabelData_1/LAS_Label_2.png
0.10167 sec,
0.15167 sec,
0.195 sec,
0.27 sec,
0.33 sec,
0.37833 sec,
0.43167 sec,
0.48167 sec,
0.53167 sec,
0.58333 sec,
0.64 sec,
0.7 sec,
0.73667 sec,
0.80333 sec,
0.84167 sec,
0.91 sec,
0.94667 sec,
1.0233 sec,
1.0683 sec,
1.1067 sec,
1.1567 sec,
1.205 sec,
1.2567 sec,
1.3083 sec,
1.3617 sec,
1.4083 sec,
1.455 sec,
1.5067 sec,
1.56 sec,
1.6133 sec,
1.6633 sec,
1.7117 sec,
1.765 sec,
1.8133 sec,
1.8667 sec,
1.9367 sec,
1.9817 sec,
2.0367 sec,
2.0767 sec,
2.1483 sec,
2.1983 sec,
2.255 sec,
2.3083 sec,
2.36 sec,
2.4017 sec,
2.48 sec,
2.535 sec,
2.59 sec,
2.64 sec,
2.6883 sec,
2.7367 sec,
2.795 sec,
2.8433 sec,
2.8967 sec,
2.9483 sec,
3 sec,
3.0483 sec,
3.1017 sec,
3.1517 sec,
3.2067 sec,
3.2567 sec,
3.3067 sec,
3.3517 sec,
3.41 sec,
3.4583 sec,
3.51 sec,
3.56 sec,
3.6067 sec,
3.6617 sec,
3.7217 sec,
3.7767 sec,
3.835 sec,
3.895 sec,
3.9467 sec,
3.9983 sec,
4.05 sec,
4.1067 sec,
4.1567 sec,
4.1983 sec,
4.25 sec,
4.295 sec,
4.355 sec,
4.405 sec,
4.4633 sec,
4.5133 sec,
4.5633 sec,
4.6067 sec,
4.6583 sec,
4.7117 sec,
4.7533 sec,
4.8117 sec,
4.855 sec,
4.9217 sec,
4.9767 sec,
5.0283 sec,
5.0767 sec,
5.1333 sec,
5.1833 sec,
5.2267 sec,
5.29 sec,
5.3333 sec,
5.3833 sec,
5.4333 sec,
5.485 sec,
5.535 sec,
5.595 sec,
5.655 sec,
5.705 sec,
5.75 sec,
5.7983 sec,
5.8483 sec,
5.915 sec,
5.9717 sec,
6.02 sec,
6.07 sec,
6.12 sec,
6.2217 sec,
6.275 sec,
6.3233 sec,
6.3783 sec,
6.4283 sec,
6.475 sec,
6.5233 sec,
6.575 sec,
6.625 sec,
6.6733 sec,
6.7283 sec,
6.7783 sec,
6.8283 sec,
6.8867 sec,
