Time,PixelLabelData,OriginalData
0.046667 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_2.png,Studies/031/LAS/anno/OriginalData/LAS_Label_2.png
6.9467 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_133.png,Studies/031/LAS/anno/OriginalData/LAS_Label_133.png
7.0967 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_136.png,Studies/031/LAS/anno/OriginalData/LAS_Label_136.png
7.2433 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_139.png,Studies/031/LAS/anno/OriginalData/LAS_Label_139.png
7.3433 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_141.png,Studies/031/LAS/anno/OriginalData/LAS_Label_141.png
7.41 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_142.png,Studies/031/LAS/anno/OriginalData/LAS_Label_142.png
7.4683 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_143.png,Studies/031/LAS/anno/OriginalData/LAS_Label_143.png
7.5683 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_145.png,Studies/031/LAS/anno/OriginalData/LAS_Label_145.png
7.6083 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_146.png,Studies/031/LAS/anno/OriginalData/LAS_Label_146.png
7.6533 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_147.png,Studies/031/LAS/anno/OriginalData/LAS_Label_147.png
7.765 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_149.png,Studies/031/LAS/anno/OriginalData/LAS_Label_149.png
7.8083 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_150.png,Studies/031/LAS/anno/OriginalData/LAS_Label_150.png
7.885 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_151.png,Studies/031/LAS/anno/OriginalData/LAS_Label_151.png
7.9433 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_152.png,Studies/031/LAS/anno/OriginalData/LAS_Label_152.png
8.1067 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_155.png,Studies/031/LAS/anno/OriginalData/LAS_Label_155.png
8.165 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_156.png,Studies/031/LAS/anno/OriginalData/LAS_Label_156.png
8.2767 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_158.png,Studies/031/LAS/anno/OriginalData/LAS_Label_158.png
8.4467 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_161.png,Studies/031/LAS/anno/OriginalData/LAS_Label_161.png
8.595 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_164.png,Studies/031/LAS/anno/OriginalData/LAS_Label_164.png
8.6867 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_166.png,Studies/031/LAS/anno/OriginalData/LAS_Label_166.png
8.8367 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_168.png,Studies/031/LAS/anno/OriginalData/LAS_Label_168.png
8.9067 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_169.png,Studies/031/LAS/anno/OriginalData/LAS_Label_169.png
9.0083 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_171.png,Studies/031/LAS/anno/OriginalData/LAS_Label_171.png
9.085 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_172.png,Studies/031/LAS/anno/OriginalData/LAS_Label_172.png
9.14 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_173.png,Studies/031/LAS/anno/OriginalData/LAS_Label_173.png
9.1917 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_174.png,Studies/031/LAS/anno/OriginalData/LAS_Label_174.png
9.2517 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_175.png,Studies/031/LAS/anno/OriginalData/LAS_Label_175.png
9.3067 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_176.png,Studies/031/LAS/anno/OriginalData/LAS_Label_176.png
9.4117 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_178.png,Studies/031/LAS/anno/OriginalData/LAS_Label_178.png
9.4633 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_179.png,Studies/031/LAS/anno/OriginalData/LAS_Label_179.png
9.52 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_180.png,Studies/031/LAS/anno/OriginalData/LAS_Label_180.png
9.6233 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_182.png,Studies/031/LAS/anno/OriginalData/LAS_Label_182.png
9.67 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_183.png,Studies/031/LAS/anno/OriginalData/LAS_Label_183.png
9.8117 sec,Studies/031/LAS/anno/PixelLabelData_1/LAS_Label_185.png,Studies/031/LAS/anno/OriginalData/LAS_Label_185.png
