Time,PixelLabelData
0.13333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_1.png
0.135 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_2.png
0.2 sec,
0.235 sec,
0.26833 sec,
0.30667 sec,
0.36 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_7.png
0.40833 sec,
0.46833 sec,
0.51667 sec,
0.57 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_11.png
0.62333 sec,
0.66833 sec,
0.71667 sec,
0.76333 sec,
0.82167 sec,
0.87333 sec,
0.92667 sec,
0.97833 sec,
1.04 sec,
1.0783 sec,
1.125 sec,
1.185 sec,
1.2267 sec,
1.285 sec,
1.335 sec,
1.385 sec,
1.4367 sec,
1.485 sec,
1.54 sec,
1.5867 sec,
1.6383 sec,
1.69 sec,
1.7467 sec,
1.795 sec,
1.85 sec,
1.8967 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_37.png
1.95 sec,
1.9983 sec,
2.0667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_40.png
2.1067 sec,
2.155 sec,
2.2 sec,
2.2533 sec,
2.3067 sec,
2.36 sec,
2.41 sec,
2.4617 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_48.png
2.5117 sec,
2.56 sec,
2.615 sec,
2.665 sec,
2.7183 sec,
2.77 sec,
2.82 sec,
2.8683 sec,
2.9183 sec,
2.9683 sec,
3.04 sec,
3.09 sec,
3.14 sec,
3.1867 sec,
3.24 sec,
3.275 sec,
3.3317 sec,
3.375 sec,
3.43 sec,
3.4833 sec,
3.5317 sec,
3.595 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_70.png
3.6467 sec,
3.6867 sec,
3.7483 sec,
3.79 sec,
3.8317 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_75.png
3.885 sec,
3.9367 sec,
3.9883 sec,
4.0467 sec,
4.1 sec,
4.15 sec,
4.2133 sec,
4.2583 sec,
4.3 sec,
4.3483 sec,
4.405 sec,
4.4583 sec,
4.5083 sec,
4.5567 sec,
4.625 sec,
4.6833 sec,
4.7317 sec,
4.7717 sec,
4.815 sec,
4.8567 sec,
4.915 sec,
4.9667 sec,
5.0267 sec,
5.09 sec,
5.13 sec,
5.1733 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_101.png
5.2183 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_102.png
5.2733 sec,
5.3233 sec,
5.38 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_105.png
5.4283 sec,
5.4817 sec,
5.5267 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_108.png
5.5817 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_109.png
5.6333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_110.png
5.6833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_111.png
5.735 sec,
5.7833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_113.png
5.83 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_114.png
5.8883 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_115.png
5.935 sec,
5.99 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_117.png
6.0467 sec,
6.095 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_119.png
6.145 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_120.png
6.2 sec,
6.2483 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_122.png
6.2983 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_123.png
6.3483 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_124.png
6.3983 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_125.png
6.4483 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_126.png
6.505 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_127.png
6.5567 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_128.png
6.6033 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_129.png
6.655 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\033-0\LPT\anno\PixelLabelData_1\LPT_Label_130.png
