Time,PixelLabelData
0.18 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_1.png
0.21333 sec,
0.27 sec,
0.32 sec,
0.4 sec,
0.48167 sec,
0.52333 sec,
0.605 sec,
0.685 sec,
0.74333 sec,
0.80167 sec,
0.85833 sec,
0.91 sec,
0.95667 sec,
1.0033 sec,
1.05 sec,
1.1017 sec,
1.155 sec,
1.1967 sec,
1.2367 sec,
1.29 sec,
1.34 sec,
1.39 sec,
1.435 sec,
1.4917 sec,
1.54 sec,
1.5917 sec,
1.64 sec,
1.6983 sec,
1.75 sec,
1.8017 sec,
1.8533 sec,
1.9033 sec,
1.9517 sec,
1.9967 sec,
2.055 sec,
2.125 sec,
2.1767 sec,
2.2183 sec,
2.2567 sec,
2.325 sec,
2.365 sec,
2.4383 sec,
2.4867 sec,
2.5333 sec,
2.5783 sec,
2.665 sec,
2.7217 sec,
2.7683 sec,
2.8167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_50.png
2.87 sec,
2.9233 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_52.png
2.9733 sec,
3.0233 sec,
3.075 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_55.png
3.1267 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_56.png
3.1733 sec,
3.2283 sec,
3.2783 sec,
3.3333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_60.png
3.3833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_61.png
3.4283 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_62.png
3.4833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_63.png
3.535 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_64.png
3.5867 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_65.png
3.6333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_66.png
3.6883 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_67.png
3.7417 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_68.png
3.7933 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_69.png
3.845 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_70.png
3.895 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_71.png
3.94 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_72.png
3.9933 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_73.png
4.045 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_74.png
4.1133 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_75.png
4.1633 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_76.png
4.2133 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_77.png
4.2533 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_78.png
4.3167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_79.png
4.415 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_80.png
4.4567 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_81.png
4.5267 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_82.png
4.5767 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_83.png
4.6517 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_84.png
4.71 sec,
4.7617 sec,
4.8133 sec,
4.8817 sec,
4.9367 sec,
4.9867 sec,
5.0333 sec,
5.0833 sec,
5.125 sec,
5.1667 sec,
5.22 sec,
5.275 sec,
5.3233 sec,
5.3767 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_98.png
5.42 sec,
5.4717 sec,
5.5283 sec,
5.61 sec,
5.6683 sec,
5.7117 sec,
5.745 sec,
5.81 sec,
5.8567 sec,
5.94 sec,
5.99 sec,
6.0383 sec,
6.095 sec,
6.1433 sec,
6.1967 sec,
6.2517 sec,
6.2967 sec,
6.3433 sec,
6.3983 sec,
6.45 sec,
6.5033 sec,
6.5567 sec,
6.605 sec,
6.655 sec,
6.705 sec,
6.755 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_124.png
6.81 sec,
6.86 sec,
6.9117 sec,
6.96 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_128.png
7.0133 sec,
7.0767 sec,
7.1367 sec,
7.18 sec,
7.2183 sec,
7.2683 sec,
7.3117 sec,
7.37 sec,
7.4233 sec,
7.465 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_138.png
7.5217 sec,
7.5733 sec,
7.6233 sec,
7.675 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_142.png
7.7283 sec,
7.7817 sec,
7.8317 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_145.png
7.8833 sec,
7.9333 sec,
7.9833 sec,
8.0317 sec,
8.0883 sec,
8.1383 sec,
8.1867 sec,
8.2383 sec,
8.2883 sec,
8.34 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_155.png
8.3867 sec,
8.4383 sec,
8.49 sec,
8.54 sec,
8.595 sec,
8.6467 sec,
8.7 sec,
8.7517 sec,
8.8 sec,
8.85 sec,
8.8967 sec,
8.9533 sec,
9.005 sec,
9.0567 sec,
9.1167 sec,
9.1617 sec,
9.2067 sec,
9.26 sec,
9.3133 sec,
9.36 sec,
9.4083 sec,
9.4617 sec,
9.5133 sec,
9.5683 sec,
9.6183 sec,
9.665 sec,
9.7167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_182.png
9.7717 sec,
9.8217 sec,
9.8733 sec,
9.9183 sec,
9.9683 sec,
10.03 sec,
10.077 sec,
10.13 sec,
10.205 sec,
10.27 sec,
10.332 sec,
10.392 sec,
10.44 sec,
10.498 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RAT\anno\PixelLabelData_1\RAT_Label_196.png
10.565 sec,
10.63 sec,
10.685 sec,
10.732 sec,
10.782 sec,
10.823 sec,
10.897 sec,
10.953 sec,
11.022 sec,
11.077 sec,
11.132 sec,
11.167 sec,
11.23 sec,
11.27 sec,
11.328 sec,
11.372 sec,
11.442 sec,
11.49 sec,
11.568 sec,
11.62 sec,
11.678 sec,
