Time,PixelLabelData,OriginalData
0.18 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_1.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_1.png
2.8167 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_50.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_50.png
2.9233 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_52.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_52.png
3.075 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_55.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_55.png
3.1267 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_56.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_56.png
3.3333 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_60.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_60.png
3.3833 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_61.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_61.png
3.4283 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_62.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_62.png
3.4833 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_63.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_63.png
3.535 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_64.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_64.png
3.5867 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_65.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_65.png
3.6333 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_66.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_66.png
3.6883 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_67.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_67.png
3.7417 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_68.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_68.png
3.7933 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_69.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_69.png
3.845 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_70.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_70.png
3.895 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_71.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_71.png
3.94 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_72.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_72.png
3.9933 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_73.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_73.png
4.045 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_74.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_74.png
4.1133 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_75.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_75.png
4.1633 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_76.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_76.png
4.2133 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_77.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_77.png
4.2533 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_78.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_78.png
4.3167 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_79.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_79.png
4.415 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_80.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_80.png
4.4567 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_81.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_81.png
4.5267 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_82.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_82.png
4.5767 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_83.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_83.png
4.6517 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_84.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_84.png
5.3767 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_98.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_98.png
6.755 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_124.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_124.png
6.96 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_128.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_128.png
7.465 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_138.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_138.png
7.675 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_142.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_142.png
7.8317 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_145.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_145.png
8.34 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_155.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_155.png
9.7167 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_182.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_182.png
10.498 sec,Studies/037-0/RAT/anno/PixelLabelData_1/RAT_Label_196.png,Studies/037-0/RAT/anno/OriginalData/RAT_Label_196.png
