Time,PixelLabelData
0.22 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_1.png
0.22167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_2.png
0.33 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_3.png
0.38167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_4.png
0.43 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_5.png
0.47167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_6.png
0.54167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_7.png
0.59333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_8.png
0.655 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_9.png
0.70333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_10.png
0.74833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_11.png
0.80833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_12.png
0.86 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_13.png
0.91 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_14.png
0.96 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_15.png
1.01 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_16.png
1.055 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_17.png
1.115 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_18.png
1.1633 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_19.png
1.2133 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_20.png
1.265 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_21.png
1.315 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_22.png
1.3683 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_23.png
1.42 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_24.png
1.47 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_25.png
1.52 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_26.png
1.5667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_27.png
1.6217 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_28.png
1.6733 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_29.png
1.725 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_30.png
1.775 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_31.png
1.8267 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_32.png
1.8767 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_33.png
1.9267 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_34.png
1.9783 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_35.png
2.03 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_36.png
2.0833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_37.png
2.1367 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_38.png
2.19 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_39.png
2.2417 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_40.png
2.29 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_41.png
2.34 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_42.png
2.385 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_43.png
2.4417 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_44.png
2.4867 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_45.png
2.5467 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_46.png
2.595 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_47.png
2.6483 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_48.png
2.695 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_49.png
2.7467 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_50.png
2.8 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_51.png
2.8517 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_52.png
2.9 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_53.png
2.9517 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_54.png
3.0017 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_55.png
3.0567 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_56.png
3.1083 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_57.png
3.16 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_58.png
3.1967 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_59.png
3.2567 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_60.png
3.3083 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_61.png
3.3583 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_62.png
3.42 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_63.png
3.5 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_64.png
3.535 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_65.png
3.5833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_66.png
3.6367 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_67.png
3.6883 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_68.png
3.74 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_69.png
3.79 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_70.png
3.8417 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_71.png
3.89 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLS\anno\PixelLabelData_1\RLS_Label_72.png
