Time,PixelLabelData,OriginalData
0.22 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_1.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_1.png
0.22167 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_2.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_2.png
0.33 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_3.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_3.png
0.38167 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_4.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_4.png
0.43 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_5.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_5.png
0.47167 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_6.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_6.png
0.54167 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_7.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_7.png
0.59333 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_8.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_8.png
0.655 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_9.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_9.png
0.70333 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_10.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_10.png
0.74833 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_11.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_11.png
0.80833 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_12.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_12.png
0.86 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_13.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_13.png
0.91 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_14.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_14.png
0.96 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_15.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_15.png
1.01 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_16.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_16.png
1.055 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_17.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_17.png
1.115 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_18.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_18.png
1.1633 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_19.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_19.png
1.2133 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_20.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_20.png
1.265 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_21.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_21.png
1.315 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_22.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_22.png
1.3683 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_23.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_23.png
1.42 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_24.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_24.png
1.47 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_25.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_25.png
1.52 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_26.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_26.png
1.5667 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_27.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_27.png
1.6217 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_28.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_28.png
1.6733 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_29.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_29.png
1.725 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_30.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_30.png
1.775 sec,Studies/037-0/RLS/anno/PixelLabelData_1/RLS_Label_31.png,Studies/037-0/RLS/anno/OriginalData/RLS_Label_31.png
