Time,PixelLabelData
0.16333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_1.png
0.165 sec,
0.245 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_3.png
0.29833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_4.png
0.34667 sec,
0.405 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_6.png
0.45333 sec,
0.50833 sec,
0.55833 sec,
0.60667 sec,
0.655 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_11.png
0.70833 sec,
0.75667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_13.png
0.81333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_14.png
0.875 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_15.png
0.92 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_16.png
0.97667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_17.png
1.0217 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_18.png
1.08 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_19.png
1.1233 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_20.png
1.17 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_21.png
1.2167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_22.png
1.275 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_23.png
1.32 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_24.png
1.3717 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_25.png
1.4233 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_26.png
1.48 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_27.png
1.53 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_28.png
1.5783 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_29.png
1.63 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_30.png
1.68 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_31.png
1.7317 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_32.png
1.7783 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_33.png
1.8333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_34.png
1.8833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_35.png
1.9367 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_36.png
1.9867 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_37.png
2.06 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RLT\anno\PixelLabelData_1\RLT_Label_38.png
