Time,PixelLabelData,OriginalData
0.16333 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_1.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_1.png
0.245 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_3.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_3.png
0.29833 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_4.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_4.png
0.405 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_6.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_6.png
0.655 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_11.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_11.png
0.75667 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_13.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_13.png
0.81333 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_14.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_14.png
0.875 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_15.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_15.png
0.92 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_16.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_16.png
0.97667 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_17.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_17.png
1.0217 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_18.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_18.png
1.08 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_19.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_19.png
1.1233 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_20.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_20.png
1.17 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_21.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_21.png
1.2167 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_22.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_22.png
1.275 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_23.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_23.png
1.32 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_24.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_24.png
1.3717 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_25.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_25.png
1.4233 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_26.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_26.png
1.48 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_27.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_27.png
1.53 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_28.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_28.png
1.5783 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_29.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_29.png
1.63 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_30.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_30.png
1.68 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_31.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_31.png
1.7317 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_32.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_32.png
1.7783 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_33.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_33.png
1.8333 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_34.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_34.png
1.8833 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_35.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_35.png
1.9367 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_36.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_36.png
1.9867 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_37.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_37.png
2.06 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_38.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_38.png
2.14 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_39.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_39.png
2.1883 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_40.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_40.png
2.2433 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_41.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_41.png
2.2883 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_42.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_42.png
2.3233 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_43.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_43.png
2.3917 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_44.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_44.png
2.4317 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_45.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_45.png
2.4767 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_46.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_46.png
2.5267 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_47.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_47.png
2.58 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_48.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_48.png
2.6317 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_49.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_49.png
2.685 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_50.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_50.png
2.7333 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_51.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_51.png
2.7867 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_52.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_52.png
2.8333 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_53.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_53.png
2.885 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_54.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_54.png
2.9333 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_55.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_55.png
2.985 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_56.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_56.png
3.0367 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_57.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_57.png
3.0933 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_58.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_58.png
3.14 sec,Studies/037-0/RLT/anno/PixelLabelData_1/RLT_Label_59.png,Studies/037-0/RLT/anno/OriginalData/RLT_Label_59.png
