Time,PixelLabelData
0.25667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_1.png
0.34 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_2.png
0.385 sec,
0.425 sec,
0.49167 sec,
0.53833 sec,
0.62833 sec,
0.67833 sec,
0.72667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_9.png
0.775 sec,
0.82833 sec,
0.875 sec,
0.935 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_13.png
0.985 sec,
1.0333 sec,
1.0883 sec,
1.1383 sec,
1.2217 sec,
1.2817 sec,
1.3583 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_20.png
1.415 sec,
1.4783 sec,
1.53 sec,
1.615 sec,
1.6617 sec,
1.6933 sec,
1.7533 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_27.png
1.7883 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_28.png
1.85 sec,
1.8967 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_30.png
1.9467 sec,
2.0033 sec,
2.0533 sec,
2.1033 sec,
2.1533 sec,
2.2 sec,
2.2517 sec,
2.32 sec,
2.375 sec,
2.4233 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_40.png
2.4633 sec,
2.5083 sec,
2.5567 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_43.png
2.6133 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_44.png
2.6617 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_45.png
2.715 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_46.png
2.7633 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_47.png
2.815 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_48.png
2.915 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_49.png
2.96 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_50.png
3.005 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_51.png
3.0483 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_52.png
3.09 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_53.png
3.1533 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_54.png
3.2083 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_55.png
3.2517 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_56.png
3.3217 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_57.png
3.3633 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_58.png
3.41 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_59.png
3.46 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_60.png
3.5133 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_61.png
3.56 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_62.png
3.6167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_63.png
3.67 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_64.png
3.72 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_65.png
3.7667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_66.png
3.8167 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_67.png
3.8667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_68.png
3.9183 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_69.png
3.9717 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_70.png
4.0217 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_71.png
4.075 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_72.png
4.125 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_73.png
4.1967 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_74.png
4.2367 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_75.png
4.2833 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_76.png
4.33 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_77.png
4.3817 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_78.png
4.4333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_79.png
4.4867 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_80.png
4.5383 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_81.png
4.5933 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_82.png
4.64 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_83.png
4.6883 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_84.png
4.7417 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_85.png
4.7883 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_86.png
4.845 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_87.png
4.9 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_88.png
4.9467 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_89.png
4.9983 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_90.png
5.05 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPS\anno\PixelLabelData_1\RPS_Label_91.png
