Time,PixelLabelData,OriginalData
0.25667 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_1.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_1.png
0.34 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_2.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_2.png
0.72667 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_9.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_9.png
0.935 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_13.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_13.png
1.3583 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_20.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_20.png
1.7533 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_27.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_27.png
1.7883 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_28.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_28.png
1.8967 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_30.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_30.png
2.4233 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_40.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_40.png
2.5567 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_43.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_43.png
2.6133 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_44.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_44.png
2.6617 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_45.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_45.png
2.715 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_46.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_46.png
2.7633 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_47.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_47.png
2.815 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_48.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_48.png
2.915 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_49.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_49.png
2.96 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_50.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_50.png
3.005 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_51.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_51.png
3.0483 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_52.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_52.png
3.09 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_53.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_53.png
3.1533 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_54.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_54.png
3.2083 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_55.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_55.png
3.2517 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_56.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_56.png
3.3217 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_57.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_57.png
3.3633 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_58.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_58.png
3.41 sec,Studies/037-0/RPS/anno/PixelLabelData_1/RPS_Label_59.png,Studies/037-0/RPS/anno/OriginalData/RPS_Label_59.png
