Time,PixelLabelData
0.14667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_1.png
0.14833 sec,
0.22 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_3.png
0.265 sec,
0.32 sec,
0.36333 sec,
0.40167 sec,
0.47667 sec,
0.52833 sec,
0.58167 sec,
0.63333 sec,
0.685 sec,
0.735 sec,
0.78167 sec,
0.83167 sec,
0.88833 sec,
0.935 sec,
0.98833 sec,
1.045 sec,
1.09 sec,
1.14 sec,
1.1933 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_22.png
1.245 sec,
1.2967 sec,
1.34 sec,
1.3967 sec,
1.4467 sec,
1.5033 sec,
1.55 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_29.png
1.6117 sec,
1.6567 sec,
1.73 sec,
1.7767 sec,
1.8283 sec,
1.875 sec,
1.93 sec,
1.9917 sec,
2.0433 sec,
2.0967 sec,
2.1633 sec,
2.2183 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_41.png
2.2683 sec,
2.32 sec,
2.36 sec,
2.4017 sec,
2.4817 sec,
2.5383 sec,
2.5917 sec,
2.6433 sec,
2.6933 sec,
2.74 sec,
2.7933 sec,
2.845 sec,
2.8983 sec,
2.9483 sec,
2.9933 sec,
3.0483 sec,
3.105 sec,
3.1533 sec,
3.1967 sec,
3.2483 sec,
3.3033 sec,
3.355 sec,
3.4067 sec,
3.4583 sec,
3.5067 sec,
3.5567 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_67.png
3.6133 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_68.png
3.6667 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_69.png
3.7217 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_70.png
3.7867 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_71.png
3.8317 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_72.png
3.8733 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_73.png
3.9217 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_74.png
3.9717 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_75.png
4.0217 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_76.png
4.09 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_77.png
4.1417 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_78.png
4.1867 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_79.png
4.2333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_80.png
4.2783 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_81.png
4.3267 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_82.png
4.3817 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_83.png
4.4333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_84.png
4.4867 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_85.png
4.5333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_86.png
4.5883 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_87.png
4.6333 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_88.png
4.685 sec,C:\Users\User\Dropbox (BOSTON UNIVERSITY)\mBSUS pilot images\studies032-041\037-0\RPT\anno\PixelLabelData_1\RPT_Label_89.png
