Time,PixelLabelData,OriginalData
0.14667 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_1.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_1.png
0.22 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_3.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_3.png
1.1933 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_22.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_22.png
1.55 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_29.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_29.png
2.2183 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_41.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_41.png
3.5567 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_67.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_67.png
3.6133 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_68.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_68.png
3.6667 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_69.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_69.png
3.7217 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_70.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_70.png
3.7867 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_71.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_71.png
3.8317 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_72.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_72.png
3.8733 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_73.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_73.png
3.9217 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_74.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_74.png
3.9717 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_75.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_75.png
4.0217 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_76.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_76.png
4.09 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_77.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_77.png
4.1417 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_78.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_78.png
4.1867 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_79.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_79.png
4.2333 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_80.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_80.png
4.2783 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_81.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_81.png
4.3267 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_82.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_82.png
4.3817 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_83.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_83.png
4.4333 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_84.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_84.png
4.4867 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_85.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_85.png
4.5333 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_86.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_86.png
4.5883 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_87.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_87.png
4.6333 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_88.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_88.png
4.685 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_89.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_89.png
4.7367 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_90.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_90.png
4.79 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_91.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_91.png
4.84 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_92.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_92.png
4.89 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_93.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_93.png
4.9483 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_94.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_94.png
4.995 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_95.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_95.png
5.0583 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_96.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_96.png
5.1083 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_97.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_97.png
5.1517 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_98.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_98.png
5.2033 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_99.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_99.png
5.2567 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_100.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_100.png
5.3083 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_101.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_101.png
5.38 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_102.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_102.png
5.4267 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_103.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_103.png
5.4633 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_104.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_104.png
5.525 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_105.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_105.png
5.61 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_106.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_106.png
5.67 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_107.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_107.png
5.7217 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_108.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_108.png
5.7717 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_109.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_109.png
5.8167 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_110.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_110.png
5.8667 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_111.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_111.png
5.9233 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_112.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_112.png
5.9733 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_113.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_113.png
6.0267 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_114.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_114.png
6.095 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_115.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_115.png
6.1417 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_116.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_116.png
6.1833 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_117.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_117.png
6.25 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_118.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_118.png
6.3033 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_119.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_119.png
6.3483 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_120.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_120.png
6.3883 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_121.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_121.png
6.435 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_122.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_122.png
6.485 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_123.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_123.png
6.535 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_124.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_124.png
6.5867 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_125.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_125.png
6.6367 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_126.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_126.png
6.685 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_127.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_127.png
6.735 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_128.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_128.png
6.79 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_129.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_129.png
6.8433 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_130.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_130.png
6.8917 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_131.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_131.png
6.9417 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_132.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_132.png
6.9917 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_133.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_133.png
7.05 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_134.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_134.png
7.1 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_135.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_135.png
7.1517 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_136.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_136.png
7.2467 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_137.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_137.png
7.3017 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_138.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_138.png
7.3983 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_139.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_139.png
7.4683 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_140.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_140.png
7.5467 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_141.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_141.png
7.5933 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_142.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_142.png
7.6383 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_143.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_143.png
7.7133 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_144.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_144.png
7.7683 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_145.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_145.png
7.815 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_146.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_146.png
7.9 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_147.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_147.png
7.9467 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_148.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_148.png
8 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_149.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_149.png
8.0667 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_150.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_150.png
8.1167 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_151.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_151.png
8.1617 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_152.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_152.png
8.215 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_153.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_153.png
8.2633 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_154.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_154.png
8.3333 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_155.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_155.png
8.3767 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_156.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_156.png
8.4417 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_157.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_157.png
8.49 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_158.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_158.png
8.5367 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_159.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_159.png
8.5767 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_160.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_160.png
8.645 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_161.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_161.png
8.685 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_162.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_162.png
8.74 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_163.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_163.png
8.7817 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_164.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_164.png
8.85 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_165.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_165.png
8.9033 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_166.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_166.png
8.9467 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_167.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_167.png
8.9967 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_168.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_168.png
9.0483 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_169.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_169.png
9.1133 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_170.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_170.png
9.1617 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_171.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_171.png
9.2083 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_172.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_172.png
9.27 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_173.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_173.png
9.3267 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_174.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_174.png
9.375 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_175.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_175.png
9.4233 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_176.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_176.png
9.475 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_177.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_177.png
9.52 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_178.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_178.png
9.5967 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_179.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_179.png
9.65 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_180.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_180.png
9.705 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_181.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_181.png
9.755 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_182.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_182.png
9.8083 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_183.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_183.png
9.8583 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_184.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_184.png
9.9083 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_185.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_185.png
9.9583 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_186.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_186.png
10.008 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_187.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_187.png
10.067 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_188.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_188.png
10.828 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_203.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_203.png
10.868 sec,Studies/037-0/RPT/anno/PixelLabelData_1/RPT_Label_204.png,Studies/037-0/RPT/anno/OriginalData/RPT_Label_204.png
